text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"This Memorial Day, I hope you'll join me in acts of remembrance. The debt we owe our fallen heroes is one we can never truly repay.",FALSE,37730,NA,2016-05-30 13:00:39,FALSE,NA,7.3726747866173E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,15385,FALSE,FALSE,NA,NA
"Big night of basketball - @Warriors chasing 73 and a farewell for an
all-timer, @KobeBryant. NBA fans feeling like: https://t.co/hvno2ZO5b0",FALSE,52514,NA,2016-04-14 01:01:34,FALSE,NA,7.20416675196223E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,29782,FALSE,FALSE,NA,NA
Proud to designate the Belmont-Paul national monument for women's equality. Let's keep up their fight with #EqualPay for women today.,FALSE,12330,NA,2016-04-12 14:46:44,FALSE,NA,7.1989955998874E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,4237,FALSE,FALSE,NA,NA
Congrats SpaceX on landing a rocket at sea. It's because of innovators like you &amp; NASA that America continues to lead in space exploration.,FALSE,47221,NA,2016-04-08 23:22:28,FALSE,NA,7.18579793919238E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,16099,FALSE,FALSE,NA,NA
Nobody should have to choose between losing a paycheck &amp; caring for their family. I applaud @NYGovCuomo for taking a big step on paid leave.,FALSE,21237,NA,2016-04-04 16:29:45,FALSE,NA,7.1702637873929E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,6160,FALSE,FALSE,NA,NA
"Thank you for your leadership @RepHalRogers. This epidemic doesn't discriminate between red or blue, so it's up to all of us to do our part.",FALSE,4107,RepHalRogers,2016-03-29 17:45:17,FALSE,7.14844724050309E+017,7.14871062865904E+017,550401754,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,1064,FALSE,FALSE,NA,NA
"From my family to yours, Happy Easter, and we wish everyone celebrating a blessed and joyful day. https://t.co/fNvcihSmYB",FALSE,127927,NA,2016-03-27 13:39:18,FALSE,NA,7.14084384010273E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,32627,FALSE,FALSE,NA,NA
"¿Que bolá Cuba? Just touched down here, looking forward to meeting and hearing directly from the Cuban people.",FALSE,60138,NA,2016-03-20 20:22:45,FALSE,NA,7.11649199243178E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,31753,FALSE,FALSE,NA,NA
A great example of how tech can make our democracy stronger. Thanks for answering the call to serve. https://t.co/dFU57cuxo8,FALSE,4766,NA,2016-03-17 22:52:33,FALSE,NA,7.10599731827835E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1419,FALSE,FALSE,NA,NA
Proud to nominate Judge Merrick Garland to the Supreme Court. I ask Senators to meet their constitutional duty and give him a fair hearing.,FALSE,32795,NA,2016-03-16 16:30:31,FALSE,NA,7.10141204755784E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,11271,FALSE,FALSE,NA,NA
"Looking forward to discussing more ways we can modernize government so it's as smart and dynamic as America itself. See you soon, Austin.",FALSE,5402,POTUS44,2016-03-11 17:48:12,FALSE,7.08346933933416E+017,7.08348813858054E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1822,FALSE,FALSE,NA,NA
Seniors can now apply for Social Security benefits online: https://t.co/jPEHLkNxfk,FALSE,2961,POTUS44,2016-03-11 17:40:44,FALSE,7.08346091578593E+017,7.08346933933416E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1089,FALSE,FALSE,NA,NA
Nearly 1 in 3 American families struggle to afford diapers. We're working with the private sector to help fix this. https://t.co/fxvdOCFeET,FALSE,4150,POTUS44,2016-03-11 17:37:23,FALSE,7.08345011037798E+017,7.08346091578593E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1772,FALSE,FALSE,NA,NA
"Immigrants can now apply online to renew their green cards faster, and prep for the citizenship civics test online.",FALSE,4433,POTUS44,2016-03-11 17:33:05,FALSE,7.08344230729556E+017,7.08345011037798E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,2043,FALSE,FALSE,NA,NA
We've cut the time it takes students to apply for financial aid by two-thirds thanks to a simplified FAFSA form: https://t.co/WDD1UrSXIR,FALSE,3682,POTUS44,2016-03-11 17:29:59,FALSE,7.08343852470436E+017,7.08344230729556E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1407,FALSE,FALSE,NA,NA
"At #SXSW, I'll make the case that tech and innovation can make government work better for everyone. Here's how it's working better already:",FALSE,7669,NA,2016-03-11 17:28:29,FALSE,NA,7.08343852470436E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,2370,FALSE,FALSE,NA,NA
"Happy #InternationalWomensDay! When women are free to pursue their dreams, nations are more safe, more secure, and more prosperous.",FALSE,35238,NA,2016-03-08 21:54:45,FALSE,NA,7.07323697493705E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,18715,FALSE,FALSE,NA,NA
